#Parameters = {L=30; L1=0.3; L2=0.8; L3=0.2; L4=0.6; Lc=11; Lf=8; Lt=1.8; Ltaper=1.27; R1=4.17; R2=2.68; R3=1.97; W=15; Wf=0.72; Ws=0.6; Wt=2.5; Wtaper=0.72; a=5; counter=29; degree=12; delta_l2=4.4; delta_l3=2.8; dp=3.8; g=0.2; gs=0.2; gt=0.5; h=0.254; hole_d=2; hole_x=9.25; hole_y=2.8; lp1=3.83; lp2=7.83; lp3=10.45; p=1; r=0.25; t=0.018; w1=3.5; w2=3.2; w3=3.2}
#"Frequency / GHz"	"Axial_ratio [Real Part]"
#-------------------------------------------
27.000000000000	11.961157257933
27.010000000000	11.973695676008
27.020000000000	11.982662117593
27.030000000000	11.988003954618
27.040000000000	11.989655567668
27.050000000000	11.987567330029
27.060000000000	11.981712398280
27.070000000000	11.972055056209
27.080000000000	11.958587701280
27.090000000000	11.941289775529
27.100000000000	11.920173746274
27.110000000000	11.895227645334
27.120000000000	11.866480483878
27.130000000000	11.833949928801
27.140000000000	11.797660757582
27.150000000000	11.757640699292
27.160000000000	11.713930964146
27.170000000000	11.666573008735
27.180000000000	11.615609104501
27.190000000000	11.561086679910
27.200000000000	11.503058475047
27.210000000000	11.441580707013
27.220000000000	11.376708546292
27.230000000000	11.308491778292
27.240000000000	11.236996942938
27.250000000000	11.162284841168
27.260000000000	11.084411937606
27.270000000000	11.003442759683
27.280000000000	10.919430658059
27.290000000000	10.832449477833
27.300000000000	10.742554559853
27.310000000000	10.649801147240
27.320000000000	10.554254732518
27.330000000000	10.455968610549
27.340000000000	10.355016020435
27.350000000000	10.251440572291
27.360000000000	10.145298825085
27.370000000000	10.036651810190
27.380000000000	9.9255510308032
27.390000000000	9.8120514557719
27.400000000000	9.6961987849930
27.410000000000	9.5780522056739
27.420000000000	9.4576574913483
27.430000000000	9.3350534344069
27.440000000000	9.2103030533507
27.450000000000	9.0834369793531
27.460000000000	8.9545074052563
27.470000000000	8.8235545463735
27.480000000000	8.6906201331635
27.490000000000	8.5557452291677
27.500000000000	8.4189749968581
27.510000000000	8.2803355876888
27.520000000000	8.1398782971226
27.530000000000	7.9976340756467
27.540000000000	7.8536379555571
27.550000000000	7.7079294880426
27.560000000000	7.5605374458366
27.570000000000	7.4115016287113
27.580000000000	7.2608560453732
27.590000000000	7.1086308188815
27.600000000000	6.9548678878693
27.610000000000	6.7995851642169
27.620000000000	6.6428344525566
27.630000000000	6.4846308174717
27.640000000000	6.3250210357139
27.650000000000	6.1640328909506
27.660000000000	6.0016998062652
27.670000000000	5.8380591017052
27.680000000000	5.6731428522751
27.690000000000	5.5069875755053
27.700000000000	5.3396331686671
27.710000000000	5.1711118862497
27.720000000000	5.0014675498321
27.730000000000	4.8307382555437
27.740000000000	4.6589686765605
27.750000000000	4.4861992005554
27.760000000000	4.3124898476365
27.770000000000	4.1378751160383
27.780000000000	3.9624218977622
27.790000000000	3.7861865271135
27.800000000000	3.6092368860466
27.810000000000	3.4316427735386
27.820000000000	3.2534923581280
27.830000000000	3.0748764033929
27.840000000000	2.8959117698298
27.850000000000	2.7167268005364
27.860000000000	2.5374853644675
27.870000000000	2.3583872644244
27.880000000000	2.1796838448866
27.890000000000	2.0017121995461
27.900000000000	1.8249163256286
27.910000000000	1.6499228408817
27.920000000000	1.4776183758499
27.930000000000	1.3093354025093
27.940000000000	1.1471200068744
27.950000000000	0.99424358571582
27.960000000000	0.85602652851200
27.970000000000	0.74103579652392
27.980000000000	0.66180524326392
27.990000000000	0.63219431204249
28.000000000000	0.65915371386306
28.010000000000	0.73664349207232
28.020000000000	0.85106679769504
28.030000000000	0.98974815941618
28.040000000000	1.1439230397388
28.050000000000	1.3081126676328
28.060000000000	1.4789659484942
28.070000000000	1.6543836179532
28.080000000000	1.8329996557704
28.090000000000	2.0139094824873
28.100000000000	2.1964801178024
28.110000000000	2.3802635069371
28.120000000000	2.5649124928002
28.130000000000	2.7501848794548
28.140000000000	2.9358784802093
28.150000000000	3.1218320835800
28.160000000000	3.3079257918801
28.170000000000	3.4940514375240
28.180000000000	3.6801176471241
28.190000000000	3.8660527487815
28.200000000000	4.0517946241045
28.210000000000	4.2372838810031
28.220000000000	4.4224751047409
28.230000000000	4.6073282405521
28.240000000000	4.7918087563650
28.250000000000	4.9758831066836
28.260000000000	5.1595264736912
28.270000000000	5.3427202970817
28.280000000000	5.5254452993431
28.290000000000	5.7076850719579
28.300000000000	5.8894336700777
28.310000000000	6.0706792578414
28.320000000000	6.2514292563142
28.330000000000	6.4316697353349
28.340000000000	6.6114124692783
28.350000000000	6.7906680580469
28.360000000000	6.9694375274290
28.370000000000	7.1477407614847
28.380000000000	7.3255990494413
28.390000000000	7.5030252246312
28.400000000000	7.6800471621331
28.410000000000	7.8566972538656
28.420000000000	8.0330011332232
28.430000000000	8.2089958972167
28.440000000000	8.3847232025340
28.450000000000	8.5602239727038
28.460000000000	8.7355456965943
28.470000000000	8.9107346030132
28.480000000000	9.0858514963867
28.490000000000	9.2609461168769
28.500000000000	9.4360877341509
28.510000000000	9.6113368772115
28.520000000000	9.7867613781811
28.530000000000	9.9624342641731
28.540000000000	10.138430534584
28.550000000000	10.314827795298
28.560000000000	10.491704102457
28.570000000000	10.669145262094
28.580000000000	10.847233199373
28.590000000000	11.026057803247
28.600000000000	11.205701807316
28.610000000000	11.386254139099
28.620000000000	11.567804136542
28.630000000000	11.750432879839
28.640000000000	11.934221863487
28.650000000000	12.119257671108
28.660000000000	12.305612042159
28.670000000000	12.493349854930
